"Grupo Estadistico2 (ALAMBRON, NEGROS ANTAAC), Direccion (VENTAS MEXICO) Periodo(Mes: Ene 2001/Ene 2021)",,,,,
Ene 2021 Grupo Estadistico3,Grupo Estadistico2,Est Toneladas Netas,Mes Año,Est Precio Destino MN/Ton,Est Precio ExWorks MN/Ton
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,417.02,sep-15,"10,315.19","9,793.34"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,119.85",sep-14,"9,763.48","9,763.48"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,041.04",sep-14,"8,990.22","8,778.58"
ALAMBRON TREFILADO,ALAMBRON,"5,684.57",sep-14,"9,401.34","8,830.34"
ALAMBRONES ESPECIALES,ALAMBRON,857.76,sep-14,"11,457.09","9,639.86"
ARMADURA,NEGROS ANTAAC,574.07,sep-14,"11,223.07","11,223.07"
CASTILLO DOB.,NEGROS ANTAAC,"1,070.72",sep-14,"9,815.01","9,256.10"
CASTILLO HOJAS,NEGROS ANTAAC,"7,461.53",sep-14,"8,750.55","8,523.01"
CLAVO 2-5,NEGROS ANTAAC,"1,449.90",sep-14,"11,294.10","11,294.10"
ESCALERILLA,NEGROS ANTAAC,45.43,sep-14,"17,677.61","17,677.61"
ESTRIBOS,NEGROS ANTAAC,365.88,sep-14,"9,741.17","9,741.17"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,402.88",sep-14,"9,202.03","8,951.93"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,927.88",sep-14,"10,016.81","9,668.30"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,69.65,sep-14,"10,428.38","10,428.38"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,603.79,sep-14,"9,855.04","9,855.04"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,790.12",sep-13,"9,687.95","9,687.95"
ALAMBRON CONSTRUCCION,ALAMBRON,"1,648.92",sep-13,"8,835.16","8,628.33"
ALAMBRON EXCEDENTES,ALAMBRON,-27.73,sep-13,"7,500.13","7,395.00"
ALAMBRON TREFILADO,ALAMBRON,"5,167.19",sep-13,"9,464.95","8,937.99"
ALAMBRONES ESPECIALES,ALAMBRON,611,sep-13,"11,098.91","9,395.18"
ARMADURA,NEGROS ANTAAC,532.26,sep-13,"11,168.79","11,168.79"
CASTILLO DOB.,NEGROS ANTAAC,730.82,sep-13,"9,895.66","9,349.69"
CASTILLO HOJAS,NEGROS ANTAAC,"4,359.89",sep-13,"9,052.20","8,828.16"
CLAVO 2-5,NEGROS ANTAAC,"1,366.49",sep-13,"11,464.26","11,464.26"
ESCALERILLA,NEGROS ANTAAC,37.56,sep-13,"17,595.91","17,595.91"
ESTRIBOS,NEGROS ANTAAC,438.06,sep-13,"9,617.48","9,617.48"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,297.93",sep-13,"9,271.41","9,038.83"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,398.52",sep-13,"9,370.86","9,083.16"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,58.26,sep-13,"10,655.64","10,655.64"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,472.4,sep-13,"10,051.43","10,051.43"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,640.72",sep-12,"11,120.34","11,120.34"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,809.27",sep-12,"10,502.37","10,272.79"
ALAMBRON TREFILADO,ALAMBRON,"4,959.74",sep-12,"10,406.24","9,717.31"
ALAMBRONES ESPECIALES,ALAMBRON,804.37,sep-12,"10,981.54","9,832.86"
ARMADURA,NEGROS ANTAAC,579.26,sep-12,"12,351.11","12,351.11"
CASTILLO DOB.,NEGROS ANTAAC,987.84,sep-12,"11,539.72","10,895.82"
CASTILLO HOJAS,NEGROS ANTAAC,"6,443.31",sep-12,"10,341.25","10,120.79"
CLAVO 2-5,NEGROS ANTAAC,"1,960.77",sep-12,"12,302.44","12,302.44"
ESCALERILLA,NEGROS ANTAAC,39.52,sep-12,"18,480.12","18,480.12"
ESTRIBOS,NEGROS ANTAAC,190.19,sep-12,"11,420.12","11,420.12"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,443.94",sep-12,"10,598.14","10,254.27"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,031.10",sep-12,"11,067.29","10,765.33"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,71.08,sep-12,"11,707.49","11,707.49"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,575.69,sep-12,"11,401.85","11,401.85"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,591.13",sep-11,"11,763.07","11,763.07"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,188.26",sep-11,"10,630.59","10,435.99"
ALAMBRON TREFILADO,ALAMBRON,"4,643.06",sep-11,"10,873.67","10,761.46"
ALAMBRONES ESPECIALES,ALAMBRON,"1,476.26",sep-11,"11,732.62","11,613.37"
ARMADURA,NEGROS ANTAAC,524.94,sep-11,"13,596.56","13,596.56"
CASTILLO DOB.,NEGROS ANTAAC,832.76,sep-11,"12,763.81","12,157.28"
CASTILLO HOJAS,NEGROS ANTAAC,"9,884.09",sep-11,"12,038.96","11,773.45"
CLAVO 2-5,NEGROS ANTAAC,"1,605.27",sep-11,"13,229.34","13,229.34"
ESCALERILLA,NEGROS ANTAAC,34.53,sep-11,"19,118.30","19,118.30"
ESTRIBOS,NEGROS ANTAAC,104.79,sep-11,"11,214.93","11,214.93"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,165.20",sep-11,"11,617.42","11,318.16"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,009.91",sep-11,"12,822.73","12,523.54"
REMESH,NEGROS ANTAAC,1.73,sep-11,"14,376.44","14,193.48"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,462.77,sep-11,"11,418.77","11,418.77"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,446.87",sep-11,"11,382.74","11,382.74"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,494.41",sep-10,"8,591.73","8,591.73"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,191.42",sep-10,"7,886.98","7,672.26"
ALAMBRON EXCEDENTES,ALAMBRON,"1,817.18",sep-10,"6,717.97","6,594.06"
ALAMBRON TREFILADO,ALAMBRON,"3,873.33",sep-10,"8,301.30","8,204.07"
ALAMBRONES ESPECIALES,ALAMBRON,"1,247.46",sep-10,"8,987.46","8,901.26"
ARMADURA,NEGROS ANTAAC,760.8,sep-10,"9,492.07","9,492.07"
CASTILLO DOB.,NEGROS ANTAAC,855.85,sep-10,"8,727.84","8,074.84"
CASTILLO HOJAS,NEGROS ANTAAC,"10,359.15",sep-10,"7,682.44","7,453.24"
CLAVO 2-5,NEGROS ANTAAC,"2,120.59",sep-10,"9,669.67","9,669.67"
ESCALERILLA,NEGROS ANTAAC,41.39,sep-10,"16,193.59","16,193.59"
ESTRIBOS,NEGROS ANTAAC,166.87,sep-10,"8,621.22","8,621.22"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,581.75",sep-10,"8,256.76","7,960.24"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,738.81",sep-10,"8,767.54","8,470.70"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,195.6,sep-10,"9,119.03","9,119.03"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,192.51",sep-10,"9,062.39","9,062.39"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,037.51",sep-09,"8,669.00","8,669.00"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,495.82",sep-09,"8,074.66","7,847.61"
ALAMBRON EXCEDENTES,ALAMBRON,"1,299.23",sep-09,"7,125.07","6,986.87"
ALAMBRON TREFILADO,ALAMBRON,"4,284.44",sep-09,"8,225.75","8,131.98"
ALAMBRONES ESPECIALES,ALAMBRON,834.91,sep-09,"8,008.06","7,909.56"
ARMADURA,NEGROS ANTAAC,546.63,sep-09,"11,242.43","11,242.43"
CASTILLO DOB.,NEGROS ANTAAC,974.89,sep-09,"8,816.39","8,132.23"
CASTILLO HOJAS,NEGROS ANTAAC,"8,320.50",sep-09,"7,773.99","7,513.78"
CLAVO 2-5,NEGROS ANTAAC,"2,309.70",sep-09,"10,220.90","10,220.90"
ESCALERILLA,NEGROS ANTAAC,31.5,sep-09,"17,284.70","17,284.70"
ESTRIBOS,NEGROS ANTAAC,246.57,sep-09,"8,662.53","8,662.53"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,865.04",sep-09,"8,352.67","7,964.64"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,990.82",sep-09,"9,179.17","8,686.10"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,92.12,sep-09,"8,912.39","8,912.39"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,775.61,sep-09,"9,233.18","9,233.18"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,792.48",sep-08,"12,953.18","12,953.18"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,086.64",sep-08,"11,296.41","11,075.70"
ALAMBRON EXCEDENTES,ALAMBRON,"1,534.07",sep-08,"10,197.65","10,072.18"
ALAMBRON TREFILADO,ALAMBRON,"4,454.03",sep-08,"12,271.84","12,178.02"
ALAMBRONES ESPECIALES,ALAMBRON,650.96,sep-08,"13,084.04","12,969.03"
ARMADURA,NEGROS ANTAAC,833.6,sep-08,"15,451.48","15,451.48"
CASTILLO DOB.,NEGROS ANTAAC,740.1,sep-08,"14,692.30","14,051.19"
CASTILLO HOJAS,NEGROS ANTAAC,"7,599.84",sep-08,"12,401.16","12,157.63"
CLAVO 2-5,NEGROS ANTAAC,"1,644.63",sep-08,"13,934.21","13,934.21"
ESCALERILLA,NEGROS ANTAAC,47.95,sep-08,"19,383.28","19,383.28"
ESTRIBOS,NEGROS ANTAAC,237.67,sep-08,"12,374.45","12,374.45"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,683.61",sep-08,"11,814.21","11,442.67"
