"Grupo Estadistico2 (ALAMBRON, NEGROS ANTAAC), Direccion (VENTAS MEXICO) Periodo(Mes: Ene 2001/Ene 2021)",,,,,
Ene 2021 Grupo Estadistico3,Grupo Estadistico2,Est Toneladas Netas,Mes Año,Est Precio Destino MN/Ton,Est Precio ExWorks MN/Ton
ALAMBRONES ESPECIALES,ALAMBRON,763.48,jul-10,"9,354.93","9,225.33"
ARMADURA,NEGROS ANTAAC,450.22,jul-10,"10,924.35","10,924.35"
CASTILLO DOB.,NEGROS ANTAAC,806.24,jul-10,"9,237.30","8,605.53"
CASTILLO HOJAS,NEGROS ANTAAC,"7,836.24",jul-10,"7,984.39","7,762.96"
CLAVO 2-5,NEGROS ANTAAC,"1,843.35",jul-10,"10,338.62","10,338.62"
ESCALERILLA,NEGROS ANTAAC,27.19,jul-10,"17,070.27","17,070.27"
ESTRIBOS,NEGROS ANTAAC,188.34,jul-10,"9,219.91","9,219.91"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,088.35",jul-10,"8,324.98","8,040.51"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,185.90",jul-10,"9,266.05","8,942.19"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,125.12,jul-10,"9,561.49","9,561.49"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,761.1,jul-10,"9,062.87","9,062.87"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,086.47",jul-09,"8,165.42","8,165.42"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,734.93",jul-09,"7,320.16","7,118.94"
ALAMBRON EXCEDENTES,ALAMBRON,"2,036.10",jul-09,"5,932.20","5,774.11"
ALAMBRON TREFILADO,ALAMBRON,"5,208.68",jul-09,"7,464.41","7,369.78"
ALAMBRONES ESPECIALES,ALAMBRON,876.7,jul-09,"7,507.67","7,392.19"
ARMADURA,NEGROS ANTAAC,771.35,jul-09,"10,053.44","10,053.44"
CASTILLO DOB.,NEGROS ANTAAC,"1,348.05",jul-09,"8,359.13","7,718.91"
CASTILLO HOJAS,NEGROS ANTAAC,"14,205.61",jul-09,"7,202.54","6,930.00"
CLAVO 2-5,NEGROS ANTAAC,"2,874.50",jul-09,"9,844.33","9,844.33"
ESCALERILLA,NEGROS ANTAAC,42.93,jul-09,"18,410.39","18,410.39"
ESTRIBOS,NEGROS ANTAAC,441.75,jul-09,"8,632.07","8,632.07"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,761.02",jul-09,"7,663.14","7,304.54"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,800.32",jul-09,"8,161.60","7,853.06"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,294.6,jul-09,"8,964.39","8,964.39"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,860.71,jul-09,"8,257.86","8,257.86"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,144.85",jul-08,"15,399.39","15,399.39"
ALAMBRON CONSTRUCCION,ALAMBRON,"1,957.19",jul-08,"13,490.43","13,194.66"
ALAMBRON EXCEDENTES,ALAMBRON,"1,223.22",jul-08,"10,567.98","10,441.91"
ALAMBRON TREFILADO,ALAMBRON,"5,541.22",jul-08,"12,786.61","12,687.71"
ALAMBRONES ESPECIALES,ALAMBRON,492.32,jul-08,"12,630.81","12,513.67"
ARMADURA,NEGROS ANTAAC,986.05,jul-08,"17,370.20","17,370.20"
CASTILLO DOB.,NEGROS ANTAAC,599.38,jul-08,"17,453.72","16,797.04"
CASTILLO HOJAS,NEGROS ANTAAC,"6,473.86",jul-08,"15,845.58","15,538.27"
CLAVO 2-5,NEGROS ANTAAC,"2,163.27",jul-08,"15,836.79","15,836.79"
ESCALERILLA,NEGROS ANTAAC,61.61,jul-08,"22,146.01","22,146.01"
ESTRIBOS,NEGROS ANTAAC,168.71,jul-08,"13,920.87","13,920.87"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,997.51",jul-08,"15,294.16","14,861.29"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,571.45",jul-08,"16,507.32","16,123.26"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,225.99,jul-08,"15,773.31","15,773.31"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,095.34",jul-08,"14,341.40","14,341.40"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,637.82",jul-07,"8,279.47","8,279.47"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,842.27",jul-07,"7,444.60","7,153.57"
ALAMBRON EXCEDENTES,ALAMBRON,"1,991.05",jul-07,"6,165.80","6,060.09"
ALAMBRON TREFILADO,ALAMBRON,"3,660.87",jul-07,"6,903.94","6,802.36"
ALAMBRONES ESPECIALES,ALAMBRON,857.87,jul-07,"6,879.00","6,717.93"
ARMADURA,NEGROS ANTAAC,958.29,jul-07,"11,251.64","11,251.64"
CASTILLO DOB.,NEGROS ANTAAC,809.23,jul-07,"9,173.16","8,513.30"
CASTILLO HOJAS,NEGROS ANTAAC,"11,347.37",jul-07,"8,083.16","7,766.65"
CLAVO 2-5,NEGROS ANTAAC,"2,522.39",jul-07,"9,895.78","9,895.78"
ESCALERILLA,NEGROS ANTAAC,46.98,jul-07,"16,713.31","16,713.31"
ESTRIBOS,NEGROS ANTAAC,346.53,jul-07,"8,072.58","8,072.58"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"4,308.01",jul-07,"8,534.53","8,183.14"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,920.77",jul-07,"9,322.64","8,947.02"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,187.43,jul-07,"9,184.67","9,184.67"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,761.09,jul-07,"8,476.32","8,476.32"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,572.53",jul-06,"11,470.89","11,470.89"
ALAMBRON CONSTRUCCION,ALAMBRON,"12,201.38",jul-06,"8,718.75","8,469.59"
ALAMBRON EXCEDENTES,ALAMBRON,"1,370.17",jul-06,"7,577.73","7,438.59"
ALAMBRON TREFILADO,ALAMBRON,"8,171.79",jul-06,"8,014.11","7,891.46"
ALAMBRONES ESPECIALES,ALAMBRON,"1,443.82",jul-06,"7,653.91","7,512.96"
ARMADURA,NEGROS ANTAAC,"1,027.12",jul-06,"12,769.09","12,769.09"
CASTILLO DOB.,NEGROS ANTAAC,550.32,jul-06,"12,631.32","11,957.76"
CASTILLO HOJAS,NEGROS ANTAAC,"9,062.96",jul-06,"10,441.75","10,128.36"
CLAVO 2-5,NEGROS ANTAAC,"2,216.01",jul-06,"13,356.67","13,356.67"
ESCALERILLA,NEGROS ANTAAC,61.3,jul-06,"15,613.88","15,613.88"
ESTRIBOS,NEGROS ANTAAC,291.89,jul-06,"9,099.98","9,099.98"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"4,354.88",jul-06,"11,054.20","10,701.21"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,390.94",jul-06,"13,145.28","12,724.33"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,218.42,jul-06,"11,333.39","11,333.39"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,751.86",jul-06,"9,720.70","9,720.70"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,014.33",jul-05,"7,088.50","7,088.50"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,292.25",jul-05,"6,579.01","6,329.28"
ALAMBRON EXCEDENTES,ALAMBRON,"2,011.41",jul-05,"4,949.91","4,794.15"
ALAMBRON TREFILADO,ALAMBRON,"5,638.86",jul-05,"6,020.82","5,876.08"
ALAMBRONES ESPECIALES,ALAMBRON,"1,230.33",jul-05,"6,716.24","6,553.90"
ARMADURA,NEGROS ANTAAC,998.52,jul-05,"9,101.59","9,101.59"
CASTILLO DOB.,NEGROS ANTAAC,"1,159.55",jul-05,"7,934.13","7,287.11"
CASTILLO HOJAS,NEGROS ANTAAC,"12,731.47",jul-05,"6,751.06","6,558.78"
CLAVO 2-5,NEGROS ANTAAC,"3,047.86",jul-05,"8,415.75","8,415.75"
ESCALERILLA,NEGROS ANTAAC,57.77,jul-05,"14,981.22","14,981.22"
ESTRIBOS,NEGROS ANTAAC,338.88,jul-05,"7,102.73","7,102.73"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"4,094.79",jul-05,"7,282.00","6,889.89"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,340.60",jul-05,"8,012.88","7,577.63"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,244.36,jul-05,"7,383.49","7,383.49"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,835.88,jul-05,"7,047.61","7,047.61"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,713.83",jul-04,"9,704.37","9,704.37"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,646.21",jul-04,"7,760.52","7,558.36"
ALAMBRON EXCEDENTES,ALAMBRON,752.18,jul-04,"6,598.01","6,465.34"
ALAMBRON TREFILADO,ALAMBRON,"8,222.30",jul-04,"7,180.77","7,066.08"
ALAMBRONES ESPECIALES,ALAMBRON,"1,453.29",jul-04,"6,977.42","6,841.62"
ARMADURA,NEGROS ANTAAC,582.93,jul-04,"10,865.17","10,865.17"
CASTILLO DOB.,NEGROS ANTAAC,796.18,jul-04,"11,354.45","10,743.77"
CASTILLO HOJAS,NEGROS ANTAAC,"6,768.48",jul-04,"9,530.72","9,273.25"
CLAVO 2-5,NEGROS ANTAAC,"2,579.47",jul-04,"10,312.40","10,312.40"
ESCALERILLA,NEGROS ANTAAC,93.41,jul-04,"13,851.07","13,851.07"
ESTRIBOS,NEGROS ANTAAC,180.49,jul-04,"8,149.49","8,149.49"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,888.59",jul-04,"9,287.31","8,949.67"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,026.94",jul-04,"10,724.94","10,318.42"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,214.52,jul-04,"9,377.04","9,377.04"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,537.79,jul-04,"7,601.77","7,601.77"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,280.94",jul-03,"5,093.07","5,093.07"
ALAMBRON CONSTRUCCION,ALAMBRON,"5,808.44",jul-03,"4,208.81","4,041.14"
ALAMBRON EXCEDENTES,ALAMBRON,"1,933.94",jul-03,"3,355.88","3,219.54"
ALAMBRON TREFILADO,ALAMBRON,"6,430.74",jul-03,"3,936.72","3,831.08"
ALAMBRONES ESPECIALES,ALAMBRON,"1,851.70",jul-03,"3,848.03","3,730.48"
ARMADURA,NEGROS ANTAAC,701.85,jul-03,"7,887.07","7,887.07"
CASTILLO DOB.,NEGROS ANTAAC,717.65,jul-03,"6,285.64","5,712.62"
CASTILLO HOJAS,NEGROS ANTAAC,"7,891.92",jul-03,"5,711.20","5,452.56"
CLAVO 2-5,NEGROS ANTAAC,"3,551.36",jul-03,"5,795.06","5,795.06"
ESCALERILLA,NEGROS ANTAAC,43.58,jul-03,"10,336.11","10,336.11"
ESTRIBOS,NEGROS ANTAAC,296.12,jul-03,"4,901.01","4,901.01"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,842.60",jul-03,"5,367.88","4,978.93"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,005.98",jul-03,"5,955.89","5,539.87"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,106.99,jul-03,"5,101.57","5,101.57"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,336.83,jul-03,"4,940.05","4,940.05"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,354.97",jul-02,"4,177.82","4,177.82"
ALAMBRON CONSTRUCCION,ALAMBRON,"7,621.71",jul-02,"3,085.33","3,085.33"
ALAMBRON EXCEDENTES,ALAMBRON,"1,604.40",jul-02,"2,600.85","2,600.85"
ALAMBRON TREFILADO,ALAMBRON,"6,977.79",jul-02,"2,993.87","2,993.87"
ALAMBRONES ESPECIALES,ALAMBRON,"1,980.58",jul-02,"2,890.45","2,890.45"
ARMADURA,NEGROS ANTAAC,655.71,jul-02,"6,380.23","6,380.23"
CASTILLO DOB.,NEGROS ANTAAC,"1,045.89",jul-02,"4,094.28","4,094.28"
CASTILLO HOJAS,NEGROS ANTAAC,"9,142.57",jul-02,"3,925.33","3,925.33"
CLAVO 2-5,NEGROS ANTAAC,"2,978.99",jul-02,"4,256.19","4,256.19"
ESCALERILLA,NEGROS ANTAAC,30.83,jul-02,"7,410.15","7,410.15"
ESTRIBOS,NEGROS ANTAAC,180.68,jul-02,"4,125.65","4,125.65"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,491.13",jul-02,"3,605.81","3,605.81"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,278.55",jul-02,"4,064.18","4,064.18"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,113.63,jul-02,"4,457.25","4,457.25"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,593.44,jul-02,"3,873.19","3,873.19"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,916.72",jul-01,"3,885.74","3,885.74"
ALAMBRON CONSTRUCCION,ALAMBRON,"5,567.18",jul-01,"2,827.08","2,827.08"
ALAMBRON EXCEDENTES,ALAMBRON,"1,008.58",jul-01,"2,462.76","2,462.76"
ALAMBRON TREFILADO,ALAMBRON,"7,137.29",jul-01,"2,860.58","2,860.58"
ALAMBRONES ESPECIALES,ALAMBRON,"1,367.27",jul-01,"3,092.95","3,092.95"
ARMADURA,NEGROS ANTAAC,310.47,jul-01,"6,810.60","6,810.60"
CASTILLO DOB.,NEGROS ANTAAC,601.25,jul-01,"4,206.38","4,206.38"
CASTILLO HOJAS,NEGROS ANTAAC,"6,202.52",jul-01,"3,649.66","3,649.66"
CLAVO 2-5,NEGROS ANTAAC,"2,704.39",jul-01,"4,287.92","4,287.92"
ESCALERILLA,NEGROS ANTAAC,22.91,jul-01,"7,100.20","7,100.20"
ESTRIBOS,NEGROS ANTAAC,162.77,jul-01,"4,073.29","4,073.29"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,274.57",jul-01,"3,565.80","3,565.80"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,136.73",jul-01,"4,150.40","4,150.40"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,142.98,jul-01,"4,663.48","4,663.48"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,256.14,jul-01,"4,047.27","4,047.27"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,890.01",feb-20,"14,171.65","13,230.38"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,201.56",feb-20,"11,812.70","10,606.18"
ALAMBRON ENDEREZADO,NEGROS ANTAAC,24.05,feb-20,"12,149.44","11,459.18"
ALAMBRON TREFILADO,ALAMBRON,"7,139.09",feb-20,"10,827.28","10,040.72"
ALAMBRONES ESPECIALES,ALAMBRON,"1,380.74",feb-20,"12,092.69","11,244.81"
ARMADURA,NEGROS ANTAAC,363.24,feb-20,"16,600.54","15,776.77"
CASTILLO DOB.,NEGROS ANTAAC,411.11,feb-20,"15,506.31","14,086.25"
CASTILLO HOJAS,NEGROS ANTAAC,"5,751.98",feb-20,"13,718.00","12,886.32"
CLAVO 2-5,NEGROS ANTAAC,"1,508.68",feb-20,"15,314.63","14,147.31"
ESCALERILLA,NEGROS ANTAAC,31.07,feb-20,"22,944.80","22,080.75"
ESTRIBOS,NEGROS ANTAAC,"1,008.38",feb-20,"12,537.53","11,661.35"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,923.11,feb-20,"13,799.90","12,890.28"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,257.56",feb-20,"15,008.36","13,890.23"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,25.38,feb-20,"15,128.63","14,318.83"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,315.03,feb-20,"14,803.74","14,218.07"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,255.08",feb-19,"15,834.52","15,072.97"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,159.86",feb-19,"13,629.21","12,494.62"
ALAMBRON TREFILADO,ALAMBRON,"8,290.40",feb-19,"13,389.01","12,746.17"
ALAMBRONES ESPECIALES,ALAMBRON,952.41,feb-19,"15,059.67","14,778.44"
ARMADURA,NEGROS ANTAAC,409.67,feb-19,"17,585.23","16,698.93"
CASTILLO DOB.,NEGROS ANTAAC,690.3,feb-19,"16,812.09","15,351.88"
CASTILLO HOJAS,NEGROS ANTAAC,"5,087.24",feb-19,"14,941.78","14,320.92"
CLAVO 2-5,NEGROS ANTAAC,"1,161.84",feb-19,"17,493.93","16,360.99"
ESCALERILLA,NEGROS ANTAAC,33.14,feb-19,"22,479.78","21,693.88"
ESTRIBOS,NEGROS ANTAAC,877.75,feb-19,"14,759.89","13,891.00"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,584.15,feb-19,"16,292.61","15,371.81"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"1,988.81",feb-19,"16,883.72","15,985.57"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,41.58,feb-19,"15,951.57","15,348.01"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,142.64,feb-19,"16,157.97","15,502.19"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,195.96",feb-18,"15,727.63","14,913.74"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,381.62",feb-18,"12,551.76","11,335.33"
ALAMBRON TREFILADO,ALAMBRON,"7,832.94",feb-18,"12,397.43","11,995.40"
ALAMBRONES ESPECIALES,ALAMBRON,993.42,feb-18,"13,640.17","13,635.28"
ARMADURA,NEGROS ANTAAC,333.75,feb-18,"17,208.12","16,400.83"
CASTILLO DOB.,NEGROS ANTAAC,661.28,feb-18,"16,681.52","15,245.30"
CASTILLO HOJAS,NEGROS ANTAAC,"5,525.59",feb-18,"15,303.13","14,712.07"
CLAVO 2-5,NEGROS ANTAAC,"1,287.61",feb-18,"16,986.84","15,864.45"
ESCALERILLA,NEGROS ANTAAC,51.72,feb-18,"21,062.02","19,982.36"
ESTRIBOS,NEGROS ANTAAC,904.73,feb-18,"13,969.23","13,230.95"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,085.67",feb-18,"16,970.55","16,256.98"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,028.73",feb-18,"19,080.14","18,056.66"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,6,feb-18,"15,203.84","13,739.36"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,477.06,feb-18,"14,175.22","13,731.58"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,993.73",feb-17,"14,327.70","13,673.98"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,373.64",feb-17,"11,165.09","10,931.35"
ALAMBRON TREFILADO,ALAMBRON,"9,971.49",feb-17,"11,028.69","10,936.73"
ALAMBRONES ESPECIALES,ALAMBRON,518.59,feb-17,"13,015.84","12,951.39"
ARMADURA,NEGROS ANTAAC,641.14,feb-17,"15,874.41","15,243.53"
CASTILLO DOB.,NEGROS ANTAAC,"1,088.37",feb-17,"14,980.32","14,307.59"
CASTILLO HOJAS,NEGROS ANTAAC,"7,190.04",feb-17,"13,796.94","13,508.60"
CLAVO 2-5,NEGROS ANTAAC,"1,535.34",feb-17,"15,398.25","14,396.37"
ESCALERILLA,NEGROS ANTAAC,37.29,feb-17,"20,725.81","19,106.85"
ESTRIBOS,NEGROS ANTAAC,762.96,feb-17,"12,236.78","11,390.52"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,609.75",feb-17,"14,367.70","14,043.16"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,480.33",feb-17,"15,563.75","15,270.66"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,22.02,feb-17,"15,130.44","14,463.39"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,521.36,feb-17,"13,299.65","12,899.04"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,891.95",feb-16,"9,500.64","8,914.30"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,059.75",feb-16,"7,962.13","7,740.82"
ALAMBRON TREFILADO,ALAMBRON,"9,847.95",feb-16,"8,678.09","8,562.66"
ALAMBRONES ESPECIALES,ALAMBRON,"1,013.98",feb-16,"10,477.57","10,323.60"
ARMADURA,NEGROS ANTAAC,599.17,feb-16,"11,374.81","10,798.70"
CASTILLO DOB.,NEGROS ANTAAC,860.42,feb-16,"10,540.47","9,902.24"
CASTILLO HOJAS,NEGROS ANTAAC,"7,083.50",feb-16,"9,603.26","9,326.94"
CLAVO 2-5,NEGROS ANTAAC,"1,803.84",feb-16,"10,700.34","9,789.50"
ESCALERILLA,NEGROS ANTAAC,50.94,feb-16,"18,096.06","16,805.07"
ESTRIBOS,NEGROS ANTAAC,621.57,feb-16,"9,631.03","8,977.24"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,101.92",feb-16,"10,136.76","9,839.50"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,421.98",feb-16,"10,669.80","10,332.66"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,146.95,feb-16,"10,323.32","9,997.34"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,693.6,feb-16,"10,101.72","9,645.50"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,342.12",feb-15,"9,994.51","9,418.84"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,256.76",feb-15,"8,750.74","8,497.46"
ALAMBRON TREFILADO,ALAMBRON,"4,950.15",feb-15,"8,998.36","8,889.59"
ALAMBRONES ESPECIALES,ALAMBRON,947.33,feb-15,"10,269.33","10,133.78"
ARMADURA,NEGROS ANTAAC,649.41,feb-15,"11,636.15","11,167.91"
CASTILLO DOB.,NEGROS ANTAAC,899.76,feb-15,"10,500.25","9,861.97"
CASTILLO HOJAS,NEGROS ANTAAC,"7,247.71",feb-15,"9,318.15","9,058.23"
CLAVO 2-5,NEGROS ANTAAC,"1,510.61",feb-15,"11,570.08","10,611.37"
ESCALERILLA,NEGROS ANTAAC,43.54,feb-15,"18,349.79","17,575.78"
ESTRIBOS,NEGROS ANTAAC,445.77,feb-15,"9,383.93","8,765.47"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,100.37",feb-15,"9,556.95","9,281.47"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,268.17",feb-15,"10,415.17","10,047.51"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,43.06,feb-15,"10,661.62","10,177.68"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,503.38,feb-15,"10,230.45","9,840.97"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,342.05",feb-14,"9,826.36","9,826.36"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,870.41",feb-14,"8,861.79","8,619.71"
ALAMBRON TREFILADO,ALAMBRON,"6,603.17",feb-14,"9,037.54","8,640.94"
ALAMBRONES ESPECIALES,ALAMBRON,"1,073.50",feb-14,"10,779.89","9,410.54"
ARMADURA,NEGROS ANTAAC,602.49,feb-14,"11,605.32","11,605.32"
CASTILLO DOB.,NEGROS ANTAAC,804.31,feb-14,"10,172.09","9,619.44"
CASTILLO HOJAS,NEGROS ANTAAC,"6,838.05",feb-14,"9,107.05","8,893.10"
CLAVO 2-5,NEGROS ANTAAC,"1,546.48",feb-14,"11,503.51","11,503.51"
ESCALERILLA,NEGROS ANTAAC,29.61,feb-14,"17,465.38","17,465.38"
ESTRIBOS,NEGROS ANTAAC,440.36,feb-14,"9,392.38","9,392.38"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,255.52",feb-14,"9,801.88","9,493.25"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,975.86",feb-14,"10,353.41","10,042.23"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,30.1,feb-14,"10,762.28","10,762.28"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,379.04,feb-14,"10,092.10","10,092.10"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,928.29",feb-13,"10,632.64","10,632.64"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,383.28",feb-13,"9,598.97","9,392.34"
ALAMBRON TREFILADO,ALAMBRON,"7,773.26",feb-13,"9,942.75","9,186.24"
ALAMBRONES ESPECIALES,ALAMBRON,796.82,feb-13,"11,155.91","9,516.03"
ARMADURA,NEGROS ANTAAC,435.86,feb-13,"12,464.08","12,464.08"
CASTILLO DOB.,NEGROS ANTAAC,923.34,feb-13,"10,796.84","10,233.37"
CASTILLO HOJAS,NEGROS ANTAAC,"5,731.35",feb-13,"9,688.48","9,480.95"
CLAVO 2-5,NEGROS ANTAAC,"1,674.34",feb-13,"11,806.68","11,806.68"
ESCALERILLA,NEGROS ANTAAC,48.08,feb-13,"18,321.30","18,321.30"
ESTRIBOS,NEGROS ANTAAC,299.65,feb-13,"10,761.44","10,761.44"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,741.13",feb-13,"10,011.54","9,767.57"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,365.30",feb-13,"10,107.89","9,835.10"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,150.82,feb-13,"11,239.29","11,239.29"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,702.02,feb-13,"10,840.33","10,840.33"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,886.43",feb-12,"12,229.42","12,229.42"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,054.57",feb-12,"11,670.77","11,463.31"
ALAMBRON TREFILADO,ALAMBRON,"7,811.46",feb-12,"11,258.55","10,504.34"
ALAMBRONES ESPECIALES,ALAMBRON,"1,113.02",feb-12,"13,340.36","11,598.73"
ARMADURA,NEGROS ANTAAC,977.3,feb-12,"14,386.44","14,386.44"
CASTILLO DOB.,NEGROS ANTAAC,908.2,feb-12,"12,565.42","11,993.66"
CASTILLO HOJAS,NEGROS ANTAAC,"7,075.93",feb-12,"11,564.45","11,327.11"
CLAVO 2-5,NEGROS ANTAAC,"1,668.32",feb-12,"13,337.72","13,337.72"
ESCALERILLA,NEGROS ANTAAC,40.02,feb-12,"18,396.95","18,396.95"
ESTRIBOS,NEGROS ANTAAC,156.94,feb-12,"12,359.55","12,359.55"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,166.09",feb-12,"11,383.17","11,123.09"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,247.71",feb-12,"12,329.32","12,020.49"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,213.66,feb-12,"12,615.77","12,615.77"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,987.45,feb-12,"11,852.99","11,852.99"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,614.92",feb-11,"11,041.45","11,041.45"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,517.22",feb-11,"9,775.04","9,556.82"
ALAMBRON EXCEDENTES,ALAMBRON,609.29,feb-11,"8,747.65","8,584.32"
ALAMBRON TREFILADO,ALAMBRON,"4,506.30",feb-11,"9,636.61","9,514.49"
ALAMBRONES ESPECIALES,ALAMBRON,"1,238.51",feb-11,"9,873.21","9,757.94"
ARMADURA,NEGROS ANTAAC,326.31,feb-11,"12,672.08","12,672.08"
CASTILLO DOB.,NEGROS ANTAAC,721.85,feb-11,"12,169.96","11,533.87"
